종가,오픈,고가,저가
1126.3,1120.7,1127.05,1120.7
1125.15,1126.3,1126.3,1120.8
1125.95,1125.15,1135.25,1125.15
1126.88,1126.83,1128.88,1122.53
1121.9,1126.75,1126.75,1120.3
1125.55,1121.9,1128.35,1121.7
1128.7,1125.55,1129.25,1124.6
1127.65,1128.7,1130.7,1126.3
1124.5,1127.65,1127.65,1123.6
1126.15,1124.5,1132.05,1124.5
1125.85,1126.15,1128.8,1124.4
1119.3,1125.85,1126.4,1116.4
1114.9,1119.3,1120.95,1114.9
1115.5,1113.9,1117.0,1112.0
1118.55,1115.25,1120.0,1115.25
1124.5,1118.8,1125.95,1116.1
1122.95,1124.25,1129.15,1122.95
1115.45,1123.45,1125.7,1115.45
1117.0,1114.5,1119.2,1114.5
1123.85,1116.6,1125.45,1116.6
1123.2,1123.85,1127.6,1119.6
1132.95,1123.2,1132.95,1121.1
1124.4,1132.95,1132.95,1122.95
1125.9,1124.1,1126.0,1122.9
1120.05,1126.3,1126.3,1119.85
1127.85,1119.85,1128.65,1119.85
1130.4,1127.85,1130.75,1125.2
1133.3,1130.4,1133.3,1127.3
1135.5,1132.2,1135.8,1131.8
1133.25,1134.3,1142.25,1132.75
1136.55,1135.8,1139.9,1132.45
1137.3,1137.9,1140.1,1134.75
1139.15,1135.9,1140.4,1135.4
1131.9,1137.6,1138.1,1130.3
1125.95,1133.5,1133.5,1125.95
1125.85,1127.3,1127.3,1122.1
1131.15,1125.25,1131.65,1122.4
1130.4,1131.15,1133.15,1127.55
1132.75,1128.95,1133.3,1128.95
1137.5,1135.4,1139.2,1135.4
1139.65,1138.05,1139.75,1134.95
1143.7,1139.9,1147.35,1139.9
1135.05,1142.8,1145.2,1135.05
1134.5,1135.4,1136.8,1131.8
1136.1,1136.45,1139.8,1135.0
1134.55,1137.5,1142.3,1134.55
1140.65,1134.25,1141.4,1133.2
1140.65,1138.95,1142.05,1136.8
1139.35,1138.4,1142.25,1137.35
1141.8,1139.05,1142.82,1137.2
1139.45,1141.2,1142.7,1137.45
1138.05,1137.6,1141.6,1136.1
1133.0,1137.4,1139.45,1132.0
1131.37,1134.1,1136.7,1131.37
1130.15,1131.5,1133.4,1127.71
1127.65,1128.9,1131.8,1127.41
1130.2,1128.0,1130.2,1125.7
1131.25,1131.0,1132.25,1128.37
1135.85,1131.5,1135.85,1130.9
1138.5,1138.4,1140.4,1135.6
1138.25,1138.6,1139.5,1134.3
1144.5,1138.6,1145.3,1137.05
1142.9,1143.7,1146.2,1140.3
1149.2,1143.2,1149.64,1141.7
1153.8,1148.7,1155.3,1147.7
1155.9,1154.2,1156.9,1152.0
